Source,Headline,URL,Label
Live Mint,Foxconn invested $1.4 billion in India till date; CEO says ‘we will grow..’,https://www.livemint.com/companies/news/foxconn-has-invested-1-4-billion-in-indian-business-over-10-billion-business-size-in-2024-11723979397992.html,stocks
Live Mint,Buy or sell: Ganesh Dongre recommends three stocks for Monday — August 18,https://www.livemint.com/market/stock-market-news/buy-or-sell-bata-tata-chemicals-power-grid-ganesh-dongre-recommends-three-stocks-for-monday-11723978695098.html,stocks
Live Mint,China should consider setting a formal inflation target,https://www.livemint.com//opinion/online-views/chinese-central-bank-inflation-targetting-deflation-price-stability-consumer-price-increase-bond-market-rally-us-fed-11723973087978.html,stocks
Live Mint,Market outlook: Investors should prioritize value over growth stocks,https://www.livemint.com/market/stock-market-news/market-outlook-investors-should-prioritize-value-over-growth-stocks-says-analyst-11723980386138.html,stocks
Live Mint,Buy or sell: Ganesh Dongre recommends three stocks for Monday — August 18,https://www.livemint.com/market/stock-market-news/buy-or-sell-bata-tata-chemicals-power-grid-ganesh-dongre-recommends-three-stocks-for-monday-11723978695098.html,stocks
Live Mint,Dharmesh Shah recommends these two stocks to buy on August 19,https://www.livemint.com/market/stock-market-news/top-stock-recommendations-dharmesh-shah-of-icici-securities-suggests-gail-tech-mahindra-for-august-19-11723911273692.html,stocks
Live Mint,Why Indian IT firms dread US economic uncertainty,https://www.livemint.com/economy/it-industry-it-firms-it-services-companies-us-economy-recession-jobs-employment-interest-rates-inflation-11723964443686.html,stocks
Live Mint,Beyond the noise: Unpacking Q1 earnings surprises,https://www.livemint.com/news/india/q1-earnings-trends-june-quarter-indian-companies-growth-story-profits-non-core-revenue-stock-price-11723958096774.html,stocks
Live Mint,One of India’s largest plastic recyclers has a new PET project. Investors love it.,https://www.livemint.com/companies/news/ganesha-ecosphere-share-price-pet-waste-recycling-r-pet-plastic-recycling-textile-industry-fmcg-epr-norms-esg-11723739797509.html,stocks
Live Mint,Sakhalin stalemate: India wants equity oil; Russia for dividends.,https://www.livemint.com/companies/rosneft-ongc-videsh-vankorneft-taas-yuryakh-neftegazodobycha-opec-narendra-modi-dividends-11723624145441.html,stocks
